MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2409
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2410
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,ALL,2411
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,ALL,2412
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,ALL,2413
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,ALL,2414
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2415
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2416
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2417
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2418
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2419
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",2420
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2421
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2422
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2423
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2424
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2425
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CHEMICALS AND PLANTS,CARIBBEAN,ALL,2426
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2427
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2428
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2429
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2430
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,POTS AND TRAPS,CARIBBEAN,ALL,2431
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,POTS AND TRAPS,CARIBBEAN,ALL,2432
TRIP LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"CONCH, QUEEN",2433
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,ALL,2434
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ALL,2435
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2436
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2437
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2438
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2439
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2440
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2441
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2442
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2443
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,POTS AND TRAPS,CARIBBEAN,ALL,2444
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,POTS AND TRAPS,CARIBBEAN,ALL,2445
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,ALL,2446
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,ALL,2447
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PARROTFISH, STRIPED",2448
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PARROTFISH, STRIPED",2449
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PARROTFISH, STOPLIGHT",2450
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PARROTFISH, STOPLIGHT",2451
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PARROTFISH, REDTAIL",2452
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PARROTFISH, REDTAIL",2453
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PARROTFISH, REDBAND",2454
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PARROTFISH, REDBAND",2455
