MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,"AMBERJACK, GREATER",361
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,"SNAPPER, RED",362
CLOSURE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"GROUPER, GAG",363
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"SNAPPER, VERMILION",364
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"SNAPPER, VERMILION",365
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"SNAPPER, VERMILION",366
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"SNAPPER, VERMILION",367
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,HOGFISH,368
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,HOGFISH,369
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,HOGFISH,370
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,HOGFISH,371
PERMIT REQUIREMENTS AND ENDORSEMENTS,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,HOGFISH,372
PERMIT REQUIREMENTS AND ENDORSEMENTS,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,HOGFISH,373
